strId              count           possiblyCount
75244            35            39233            
66352            28            39233            
48579            12            672783            
49290            3            39232            
49348            1            672784            
48061            7            39232            
41            9            672785            
43940            11            39233            
46820            65            672783            
1716            45            39233            
71344            2            672784            
7904            171            39233            
74724            5            39233            
130364            1066            672784            
42484            36            39233            
131248            3266            672784            
46134            11            39232            
52052            3            39233            
34528            65            39233            
46077            1            672783            
24804            22            39233            
30212            253            672784            
24388            11            39233            
132756            1            672784            
3328            16            39233            
43472            31            672784            
34788            104            39233            
53560            11            672784            
130676            3645            672784            
130728            672            39233            
46596            19            672783            
24752            139            672784            
50746            22            39232            
46760            1            672783            
48593            3            39232            
46808            5            39232            
34268            9            39233            
2808            3            39233            
27144            26            672784            
49446            1            672783            
74412            682            672784            
48381            1            39232            
45292            178            672784            
3848            30            672784            
64584            13            672784            
48828            460            672784            
130572            7042            672784            
46041            1            672783            
115128            1            672784            
74516            3            39233            
43368            269            39233            
44824            4            672784            
36816            3            39233            
43992            375            672784            
34476            1            672784            
51792            12            672784            
46456            4            672783            
31564            24            39233            
55484            2            39233            
92456            1            39233            
13832            1466            672784            
52104            26            39233            
3744            34            39233            
48585            15            672783            
48537            1            39232            
51268            16            672783            
35152            48            672784            
45864            37            39233            
51584            14            672784            
131716            6            672784            
32708            1            39233            
46644            22            39233            
23            277            39234            
35360            3            39233            
13416            35            39233            
53664            634            672784            
32            180            39234            
48485            4            39232            
27768            2            39233            
85852            555            672784            
32344            201            39233            
85124            26            39233            
46597            8            672783            
46333            5            672783            
85384            9            672784            
40820            292            39233            
131560            116            39233            
50588            2            672783            
48591            1            39232            
79300            82            39233            
27560            192            672784            
130260            2440            672784            
37232            7            672784            
11128            1742            672784            
50180            3            672784            
47808            2            39232            
1664            497            672784            
46176            1953            672784            
131820            23            672784            
38844            2137            672784            
70044            42            672784            
13156            1            672784            
51474            1            672783            
55380            26            672784            
25272            7            39233            
38688            638            672784            
46442            69            672783            
39624            1            39233            
9256            2            39233            
3276            10            39233            
22464            2            672784            
46442            6            39232            
116636            292            39233            
31668            13            672784            
130572            446            39233            
62088            8            39233            
21892            2            39233            
10712            22            672784            
112112            2            672784            
48065            1            672783            
49500            1            39232            
41392            14            672784            
5824            2094            672784            
46246            1            672783            
86060            89            672784            
3328            483            672784            
51527            1            39232            
29120            161            39233            
1            2409            39234            
47            356            672785            
14664            413            672784            
48673            106            672783            
94588            8            672784            
51267            4            672783            
46146            9            672783            
46105            2            672783            
39624            15            672784            
28808            373            672784            
58864            98            672784            
18            1339            39234            
85904            48            39233            
75088            2            672784            
48594            11            672783            
46592            52            39233            
40872            34            672784            
29380            2            672784            
8736            5            39233            
32812            45            39233            
80444            6            672784            
130728            9343            672784            
48576            2            39232            
52884            54            672784            
50908            2143            672784            
4056            8            39233            
130624            59            39233            
46611            1            39232            
20904            8            672784            
83616            8            39233            
14248            2196            672784            
27924            1            672784            
63960            140            39233            
47788            41            39233            
76960            8            672784            
76544            219            672784            
116636            4506            672784            
53612            58            672784            
27872            3            39233            
8112            48            672784            
71916            142            672784            
48776            411            39233            
118976            39            672784            
51480            1120            672784            
45864            412            672784            
51264            53            672783            
69004            260            672784            
46092            17            39232            
132288            50            672784            
2            9302            672785            
21372            479            672784            
20176            1            672784            
10816            1            39233            
111592            1            672784            
48433            296            672783            
24492            1060            672784            
13            1429            39234            
3172            470            672784            
