       strId   count   possiblyCount

         1     47585    712019
         2      9825    712019
         3     26208    712019
         4     11661    712019
         5     17220    712019
         6     45082    712019
         8      5798    712019
         9     10121    712019
        10     37632    712019
        11      6540    712019
        12     20590    712019
        13     28690    712019
        14     16895    712019
        15     37277    712019
        16     65042    712019
        17     14689    712019
        18     25884    712019
        19     29843    712019
        20     32685    712019
        21     16417    712019
        22      1283    712019
        23      4872    712019
        24      2255    712019
        25      7840    712019
        26      5354    712019
        27      1605    712019
        28       292    712019
        29     10778    712019
        30     11037    712019
        31      1755    712019
        32      3674    712019
        33     13048    712019
        34        70    672785
        35        54    712019
        36        26    672785
        37        16    672785
        38         6    672785
        39        17    672785
        40         9    672785
        41         9    672785
        42        20    672785
        43         9    672785
        44      7560    712019
        45       866    712019
        46     17058    712019
        47       391    712019
        48       936    712019
        49       415    672785
        50    111585    712019
        51      3489    712019
        52        10    672784
       104       453    712017
       156      2291    712017
       208       623    712017
       260      1406    712017
       312       590    712017
       416       829    712017
       468      2738    712017
       520        80    712017
       572       503    712017
       624      2934    712017
       676      5952    712017
       728      1851    712017
       780      3388    712017
       832         5    712017
       884       496    712017
       936      1806    712017
       988      2514    712017
      1040      3162    712017
      1092       110    712017
      1144       336    712017
      1196       668    712017
      1248        56    672784
      1300       495    712017
      1352       663    712017
      1404       161    712017
      1612         1    672784
      1664       527    712017
      1716      1822    712017
      2288       872    712017
      2340       110    712017
      2392      1808    712017
      2444        41    712017
      2496       125    712017
      2548         1    672784
      2600      8156    712017
      2652         2     39233
      2704       794    712017
      2756        16    672784
      2808        27    712017
      2860        12    672784
      2912        10    712017
      2964      1328    712017
      3068         3    672784
      3120         1    672784
      3172       487    712017
      3276       168    712017
      3328       499    712017
      3380        46    712017
      3432       165    712017
      3484      1476    712017
      3588       793    712017
      3640        46    712017
      3692         5    672784
      3744       769    712017
      3848        31    712017
      3900         4    672784
      3952        16    672784
      4004         3    672784
      4056       112    712017
      4108        49    712017
      4160      2431    712017
      4212        31    712017
      4264         1    672784
      4316        19    712017
      4368       313    712017
      4940         4    672784
      5044         9    672784
      5200         1    672784
      5252       156    712017
      5356      3935    712017
      5408         6    672784
      5460        14    672784
      5512        15    712017
      5564       188    712017
      5616      2869    712017
      5772       348    712017
      5824      2208    712017
      5928        82    712017
      5980       619    712017
      6032        97    712017
      6084       907    712017
      6136      4678    712017
      6188       213    712017
      6240       323    712017
      6292      2029    712017
      6344       151    712017
      6396       530    712017
      6500        26    712017
      6552        11    712017
      6604        20    712017
      6656       815    712017
