strId              count           possiblyCount
" ";  174028; 1092776;
"О";   97696; 1092776;
"А";   72955; 1092776;
"Е";   70360; 1092776;
"И";   57271; 1092776;
"Н";   54732; 1092776;
"Т";   50348; 1092776;
"С";   45170; 1092776;
"Л";   42921; 1092776;
"В";   39879; 1092776;
"Р";   38550; 1092776;
"К";   33224; 1092776;
"Д";   27160; 1092776;
"У";   26396; 1092776;
"М";   25831; 1092776;
",";   25211; 1092776;
", ";   25164; 1092774;
"П";   23056; 1092776;
"Я";   19538; 1092776;
"Г";   17915; 1092776;
"О ";   17609; 1092774;
"Ь";   17191; 1092776;
"Ы";   16455; 1092776;
" С";   16279; 1092774;
" П";   16154; 1092774;
" Н";   15687; 1092774;
"З";   15450; 1092776;
" В";   15446; 1092774;
"И ";   15364; 1092774;
"Б";   15357; 1092776;
"Е ";   13666; 1092774;
"ТО";   13232; 1092774;
"А ";   13082; 1092774;
"Ч";   12760; 1092776;
" К";   11294; 1092774;
" О";   11092; 1092774;
" И";   10826; 1092774;
".";   10807; 1092776;
"НА";   10536; 1092774;
"СТ";   10290; 1092774;
". ";    9646; 1092774;
"НЕ";    9554; 1092774;
"ГО";    9500; 1092774;
"Й";    9465; 1092776;
"ПО";    9002; 1092774;
"КО";    8813; 1092774;
"Ш";    8700; 1092776;
"АЛ";    8676; 1092774;
"Ж";    8649; 1092776;
"Я ";    8600; 1092774;
"НО";    8500; 1092774;
"КА";    8410; 1092774;
"Х";    7885; 1092776;
"ОВ";    7775; 1092774;
"РА";    7766; 1092774;
"Ь ";    7750; 1092774;
" Т";    7680; 1092774;
" Д";    7530; 1092774;
"РО";    7415; 1092774;
" Б";    7403; 1092774;
"ВО";    7053; 1092774;
"ОЛ";    6956; 1092774;
"ЛО";    6738; 1092774;
"ЕР";    6662; 1092774;
"НИ";    6496; 1092774;
"ОТ";    6397; 1092774;
"ОР";    6368; 1092774;
"ЛИ";    6325; 1092774;
"Л ";    6294; 1092774;
"ЛА";    6193; 1092774;
"ЕН";    6139; 1092774;
"ОС";    6076; 1092774;
"ВА";    6060; 1092774;
"ПР";    6053; 1092774;
" М";    5905; 1092774;
"Ю";    5901; 1092776;
"-";    5890; 1092776;
"ОН";    5868; 1092774;
"ЕЛ";    5851; 1092774;
"ЗА";    5843; 1092774;
"РЕ";    5843; 1092774;
"ТА";    5687; 1092774;
"Й ";    5667; 1092774;
" Ч";    5533; 1092774;
"ТЬ";    5418; 1092774;
" Г";    5391; 1092774;
"М ";    5362; 1092774;
"РИ";    5299; 1092774;
"В ";    5235; 1092774;
"АК";    5059; 1092774;
"ТО ";    5051; 1092772;
"ОГ";    5014; 1092774;
"ТЕ";    4893; 1092774;
"ОД";    4891; 1092774;
"ИЛ";    4873; 1092774;
"ОМ";    4831; 1092774;
"АТ";    4827; 1092774;
"АН";    4802; 1092774;
" З";    4675; 1092774;
"ВЕ";    4622; 1092774;
"ДЕ";    4557; 1092774;
"ЕТ";    4557; 1092774;
"К ";    4474; 1092774;
" -";    4379; 1092774;
"- ";    4359; 1092774;
"СК";    4355; 1092774;
"ДА";    4349; 1092774;
"У ";    4283; 1092774;
" Р";    4282; 1092774;
"Т ";    4143; 1092774;
" У";    3992; 1092774;
"ЕС";    3936; 1092774;
" Е";    3913; 1092774;
"Ц";    3894; 1092776;
"АЗ";    3877; 1092774;
"ЛЕ";    3866; 1092774;
"ЕМ";    3851; 1092774;
"АС";    3754; 1092774;
"СЯ";    3674; 1092774;
"ДО";    3627; 1092774;
"ЖЕ";    3587; 1092774;
"БЫ";    3567; 1092774;
"ИТ";    3502; 1092774;
"ВИ";    3500; 1092774;
"МО";    3483; 1092774;
"ЧТ";    3454; 1092774;
"ЛЬ";    3448; 1092774;
"ОЙ";    3419; 1092774;
"МИ";    3409; 1092774;
"ЕГ";    3362; 1092774;
"СЬ";    3323; 1092774;
"ИН";    3304; 1092774;
"АВ";    3294; 1092774;
"ТИ";    3293; 1092774;
"ЧЕ";    3284; 1092774;
"Ы ";    3268; 1092774;
"МЕ";    3206; 1092774;
"СЕ";    3198; 1092774;
"ТЬ ";    3191; 1092772;
"ОБ";    3189; 1092774;
"Н ";    3149; 1092774;
"АМ";    3097; 1092774;
"РУ";    3085; 1092774;
"КИ";    3080; 1092774;
"С ";    3076; 1092774;
"НЫ";    3049; 1092774;
"ВС";    3048; 1092774;
"АР";    2933; 1092774;
"ИС";    2836; 1092774;
"НУ";    2833; 1092774;
" Л";    2824; 1092774;
"МА";    2803; 1092774;
"ИВ";    2771; 1092774;
"НЯ";    2714; 1092774;
"ВЫ";    2706; 1092774;
"ИМ";    2705; 1092774;
"ДИ";    2700; 1092774;
"ЕД";    2693; 1092774;
"А,";    2676; 1092774;
"АЯ";    2671; 1092774;
"ТР";    2641; 1092774;
"НН";    2563; 1092774;
"Ю ";    2546; 1092774;
"ПЕ";    2540; 1092774;
"!";    2529; 1092776;
"О,";    2505; 1092774;
"СЯ ";    2462; 1092772;
"СЛ";    2442; 1092774;
"СО";    2410; 1092774;
"Х ";    2390; 1092774;
"И,";    2375; 1092774;
"Щ";    2374; 1092776;
" А";    2362; 1092774;
"Э";    2322; 1092776;
"ХО";    2284; 1092774;
"БО";    2283; 1092774;
"СТА";    2203; 1092772;
"СЬ ";    2197; 1092772;
"ШЕ";    2195; 1092774;
" Э";    2190; 1092774;
"Е,";    2172; 1092774;
"МУ";    2163; 1092774;
